หมายเลข,วันที่-เวลา,DO,EC,T,Tb,สถานะ
111,1 เม.ย.2015 00:00,5.8,182.9,30.5,-,ปกติ
111,1 เม.ย.2015 00:30,5.8,182.7,30.3,-,ปกติ
111,1 เม.ย.2015 01:00,5.7,182.6,30.2,-,ปกติ
111,1 เม.ย.2015 01:30,5.4,182.3,30.0,-,ปกติ
111,1 เม.ย.2015 02:00,5.6,182.4,29.9,-,ปกติ
111,1 เม.ย.2015 02:30,5.6,182.0,29.7,-,ปกติ
111,1 เม.ย.2015 03:00,5.5,181.9,29.6,-,ปกติ
111,1 เม.ย.2015 03:30,5.2,181.9,29.4,-,ปกติ
111,1 เม.ย.2015 04:00,5.0,181.7,29.3,-,ปกติ
111,1 เม.ย.2015 04:30,4.9,181.6,29.1,-,ปกติ
111,1 เม.ย.2015 05:00,5.1,181.7,28.9,-,ปกติ
111,1 เม.ย.2015 05:30,5.3,181.5,28.8,-,ปกติ
111,1 เม.ย.2015 06:00,5.0,181.5,28.6,-,ปกติ
111,1 เม.ย.2015 06:30,5.2,181.3,28.5,-,ปกติ
111,1 เม.ย.2015 07:00,5.4,181.3,28.4,-,ปกติ
111,1 เม.ย.2015 07:30,5.2,181.3,28.4,-,ปกติ
111,1 เม.ย.2015 08:00,5.3,181.4,28.5,-,ปกติ
111,1 เม.ย.2015 08:30,5.3,183.5,28.8,-,ปกติ
111,1 เม.ย.2015 09:00,5.4,185.1,29.2,-,ปกติ
111,1 เม.ย.2015 09:30,5.8,184.9,29.7,-,ปกติ
111,1 เม.ย.2015 10:00,5.9,183.3,30.0,-,ปกติ
111,1 เม.ย.2015 10:30,5.8,182.5,30.4,-,ปกติ
111,1 เม.ย.2015 11:00,5.7,180.7,30.7,-,ปกติ
111,1 เม.ย.2015 11:30,5.8,179.8,31.0,-,ปกติ
111,1 เม.ย.2015 12:00,5.8,178.6,31.2,-,ปกติ
111,1 เม.ย.2015 12:30,5.8,178.2,31.6,-,ปกติ
111,1 เม.ย.2015 13:00,5.8,177.7,31.9,-,ปกติ
111,1 เม.ย.2015 13:30,5.8,178.8,32.3,-,ปกติ
111,1 เม.ย.2015 14:00,5.7,177.6,32.7,-,ปกติ
111,1 เม.ย.2015 14:30,5.7,177.7,33.0,-,ปกติ
111,1 เม.ย.2015 15:00,5.7,177.2,33.5,-,ปกติ
111,1 เม.ย.2015 15:30,5.7,177.1,34.0,-,ปกติ
111,1 เม.ย.2015 16:00,5.7,176.8,34.4,-,ปกติ
111,1 เม.ย.2015 16:30,5.7,176.5,34.8,-,ปกติ
111,1 เม.ย.2015 17:00,5.7,176.5,35.1,-,ปกติ
111,1 เม.ย.2015 17:30,5.7,176.3,35.3,-,ปกติ
111,1 เม.ย.2015 18:00,5.7,176.5,35.1,-,ปกติ
111,1 เม.ย.2015 18:30,5.7,177.7,34.6,-,ปกติ
111,1 เม.ย.2015 19:00,5.7,178.8,34.1,-,ปกติ
111,1 เม.ย.2015 19:30,5.6,179.6,33.7,-,ปกติ
111,1 เม.ย.2015 20:00,5.7,180.3,33.4,-,ปกติ
111,1 เม.ย.2015 20:30,5.6,180.8,32.8,-,ปกติ
111,1 เม.ย.2015 21:00,5.6,181.6,32.5,-,ปกติ
111,1 เม.ย.2015 21:30,5.6,181.8,32.3,-,ปกติ
111,1 เม.ย.2015 22:00,5.6,181.9,32.0,-,ปกติ
111,1 เม.ย.2015 22:30,5.7,182.0,31.7,-,ปกติ
111,1 เม.ย.2015 23:00,5.7,182.0,31.5,-,ปกติ
111,1 เม.ย.2015 23:30,5.6,181.7,31.4,-,ปกติ
111,2 เม.ย.2015 00:00,5.6,181.6,31.2,-,ปกติ
111,2 เม.ย.2015 00:30,5.6,181.6,31.0,-,ปกติ
111,2 เม.ย.2015 01:00,5.6,181.3,30.8,-,ปกติ
111,2 เม.ย.2015 01:30,5.5,181.4,30.6,-,ปกติ
111,2 เม.ย.2015 02:00,5.4,181.3,30.4,-,ปกติ
111,2 เม.ย.2015 02:30,5.3,181.1,30.3,-,ปกติ
111,2 เม.ย.2015 03:00,5.1,181.0,30.1,-,ปกติ
111,2 เม.ย.2015 03:30,4.9,181.0,29.9,-,ปกติ
111,2 เม.ย.2015 04:00,5.1,180.8,29.7,-,ปกติ
111,2 เม.ย.2015 04:30,4.6,180.8,29.6,-,ปกติ
111,2 เม.ย.2015 05:00,4.6,180.5,29.4,-,ปกติ
111,2 เม.ย.2015 05:30,4.7,180.6,29.2,-,ปกติ
111,2 เม.ย.2015 06:00,5.0,180.6,29.1,-,ปกติ
111,2 เม.ย.2015 06:30,4.9,180.4,28.9,-,ปกติ
111,2 เม.ย.2015 07:00,4.6,180.4,28.8,-,ปกติ
111,2 เม.ย.2015 07:30,4.6,180.2,28.8,-,ปกติ
111,2 เม.ย.2015 08:00,4.6,180.1,28.9,-,ปกติ
111,2 เม.ย.2015 08:30,4.9,182.3,29.1,-,ปกติ
111,2 เม.ย.2015 09:00,5.2,185.2,29.5,-,ปกติ
111,2 เม.ย.2015 09:30,5.6,180.6,29.8,-,ปกติ
111,2 เม.ย.2015 10:00,5.7,178.2,30.1,-,ปกติ
111,2 เม.ย.2015 10:30,5.6,178.5,30.3,-,ปกติ
111,2 เม.ย.2015 11:00,5.6,177.8,30.6,-,ปกติ
111,2 เม.ย.2015 11:30,5.6,177.1,30.9,-,ปกติ
111,2 เม.ย.2015 12:00,5.7,176.5,31.2,-,ปกติ
111,2 เม.ย.2015 12:30,5.6,176.7,31.5,-,ปกติ
111,2 เม.ย.2015 13:00,5.6,175.7,31.8,-,ปกติ
111,2 เม.ย.2015 13:30,5.6,175.4,32.1,-,ปกติ
111,2 เม.ย.2015 14:00,5.6,174.6,32.4,-,ปกติ
111,2 เม.ย.2015 14:30,5.7,174.6,32.8,-,ปกติ
111,2 เม.ย.2015 15:00,5.7,174.4,33.2,-,ปกติ
111,2 เม.ย.2015 15:30,5.5,174.0,33.9,-,ปกติ
111,2 เม.ย.2015 16:00,5.6,173.8,34.4,-,ปกติ
111,2 เม.ย.2015 16:30,5.6,173.6,34.8,-,ปกติ
111,2 เม.ย.2015 17:00,5.5,173.5,35.0,-,ปกติ
111,2 เม.ย.2015 17:30,5.5,173.6,35.2,-,ปกติ
111,2 เม.ย.2015 18:00,5.6,173.5,35.2,-,ปกติ
111,2 เม.ย.2015 18:30,5.6,174.8,34.6,-,ปกติ
111,2 เม.ย.2015 19:00,5.6,176.2,34.0,-,ปกติ
111,2 เม.ย.2015 19:30,5.6,177.4,33.7,-,ปกติ
111,2 เม.ย.2015 20:00,5.6,178.4,33.3,-,ปกติ
111,2 เม.ย.2015 20:30,5.5,179.1,32.9,-,ปกติ
111,2 เม.ย.2015 21:00,5.6,179.4,32.5,-,ปกติ
111,2 เม.ย.2015 21:30,5.6,179.8,32.2,-,ปกติ
111,2 เม.ย.2015 22:00,5.6,180.2,31.9,-,ปกติ
111,2 เม.ย.2015 22:30,5.6,179.9,31.6,-,ปกติ
111,2 เม.ย.2015 23:00,5.6,179.8,31.1,-,ปกติ
111,2 เม.ย.2015 23:30,5.6,179.9,30.8,-,ปกติ
111,3 เม.ย.2015 00:00,5.5,179.7,30.6,-,ปกติ
111,3 เม.ย.2015 00:30,5.5,179.6,30.4,-,ปกติ
111,3 เม.ย.2015 01:00,5.5,179.0,30.1,-,ปกติ
111,3 เม.ย.2015 01:30,5.3,178.9,29.9,-,ปกติ
111,3 เม.ย.2015 02:00,5.5,179.3,29.7,-,ปกติ
111,3 เม.ย.2015 02:30,5.6,178.8,29.5,-,ปกติ
111,3 เม.ย.2015 03:00,5.6,179.1,29.3,-,ปกติ
111,3 เม.ย.2015 03:30,5.6,178.8,29.1,-,ปกติ
111,3 เม.ย.2015 04:00,5.5,178.8,28.8,-,ปกติ
111,3 เม.ย.2015 04:30,5.4,178.8,28.6,-,ปกติ
111,3 เม.ย.2015 05:00,5.3,178.7,28.3,-,ปกติ
111,3 เม.ย.2015 05:30,5.1,178.7,28.1,-,ปกติ
111,3 เม.ย.2015 06:00,4.8,178.6,27.8,-,ปกติ
111,3 เม.ย.2015 06:30,4.6,178.7,27.6,-,ปกติ
111,3 เม.ย.2015 07:00,4.5,178.5,27.4,-,ปกติ
111,3 เม.ย.2015 07:30,4.5,178.2,27.2,-,ปกติ
111,3 เม.ย.2015 08:00,4.7,177.9,27.1,-,ปกติ
111,3 เม.ย.2015 08:30,5.8,177.9,27.2,-,ปกติ
111,3 เม.ย.2015 09:00,5.9,177.7,27.6,-,ปกติ
111,3 เม.ย.2015 09:30,5.8,177.6,28.1,-,ปกติ
111,3 เม.ย.2015 10:00,5.7,175.9,28.4,-,ปกติ
111,3 เม.ย.2015 10:30,5.7,176.1,28.8,-,ปกติ
111,3 เม.ย.2015 11:00,5.7,175.3,29.1,-,ปกติ
111,3 เม.ย.2015 11:30,5.7,174.7,29.5,-,ปกติ
111,3 เม.ย.2015 12:00,5.7,175.6,29.9,-,ปกติ
111,3 เม.ย.2015 12:30,5.7,174.9,30.3,-,ปกติ
111,3 เม.ย.2015 13:00,5.7,174.4,30.7,-,ปกติ
111,3 เม.ย.2015 13:30,5.7,173.7,31.1,-,ปกติ
111,3 เม.ย.2015 14:00,5.7,173.0,31.6,-,ปกติ
111,3 เม.ย.2015 14:30,5.7,172.7,32.1,-,ปกติ
111,3 เม.ย.2015 15:00,5.7,172.0,32.7,-,ปกติ
111,3 เม.ย.2015 15:30,5.6,171.2,33.5,-,ปกติ
111,3 เม.ย.2015 16:00,5.7,170.5,34.2,-,ปกติ
111,3 เม.ย.2015 16:30,5.6,169.8,34.8,-,ปกติ
111,3 เม.ย.2015 17:00,5.5,170.4,35.2,-,ปกติ
111,3 เม.ย.2015 17:30,F,F,F,-,-
