"259,595;""129"";""23 เม.ย.2015 14:00"";""7.9"";""6.7"";""183.0"";""32.9"";""53.0"";""ปกติ"""
"259,830;""129"";""23 เม.ย.2015 16:00"";""7.9"";""6.2"";""182.0"";""32.7"";""51.0"";""ปกติ"""
"259,948;""129"";""23 เม.ย.2015 17:00"";""7.8"";""6.2"";""182.0"";""32.5"";""50.0"";""ปกติ"""
"260,067;""129"";""23 เม.ย.2015 18:00"";""7.8"";""6.1"";""181.0"";""32.2"";""53.0"";""ปกติ"""
"260,185;""129"";""23 เม.ย.2015 19:00"";""7.8"";""6.1"";""182.0"";""31.8"";""54.0"";""ปกติ"""
"260,302;""129"";""23 เม.ย.2015 20:00"";""7.8"";""6.0"";""183.0"";""31.7"";""49.0"";""ปกติ"""
"260,420;""129"";""23 เม.ย.2015 21:00"";""7.8"";""6.0"";""183.0"";""31.7"";""43.0"";""ปกติ"""
"260,538;""129"";""23 เม.ย.2015 22:00"";""7.8"";""6.0"";""184.0"";""31.7"";""39.0"";""ปกติ"""
"260,655;""129"";""23 เม.ย.2015 23:00"";""7.8"";""6.0"";""184.0"";""31.8"";""39.0"";""ปกติ"""
"260,774;""129"";""24 เม.ย.2015 00:00"";""7.8"";""6.0"";""184.0"";""31.8"";""38.0"";""ปกติ"""
"260,896;""129"";""24 เม.ย.2015 01:00"";""7.8"";""5.9"";""184.0"";""31.7"";""38.0"";""ปกติ"""
"261,018;""129"";""24 เม.ย.2015 02:00"";""7.9"";""5.9"";""184.0"";""31.7"";""38.0"";""ปกติ"""
"261,140;""129"";""24 เม.ย.2015 03:00"";""7.9"";""5.9"";""183.0"";""31.6"";""39.0"";""ปกติ"""
"261,262;""129"";""24 เม.ย.2015 04:00"";""7.8"";""5.8"";""183.0"";""31.6"";""40.0"";""ปกติ"""
"261,384;""129"";""24 เม.ย.2015 05:00"";""7.8"";""5.7"";""183.0"";""31.4"";""41.0"";""ปกติ"""
"261,505;""129"";""24 เม.ย.2015 06:00"";""7.8"";""5.6"";""183.0"";""31.3"";""44.0"";""ปกติ"""
"261,625;""129"";""24 เม.ย.2015 07:00"";""7.8"";""5.4"";""183.0"";""31.4"";""47.0"";""ปกติ"""
"261,746;""129"";""24 เม.ย.2015 08:00"";""7.8"";""5.3"";""183.0"";""31.6"";""46.0"";""ปกติ"""
"261,867;""129"";""24 เม.ย.2015 09:00"";""7.9"";""5.3"";""182.0"";""31.9"";""44.0"";""ปกติ"""
"261,988;""129"";""24 เม.ย.2015 10:00"";""7.9"";""5.4"";""182.0"";""32.4"";""42.0"";""ปกติ"""
"262,110;""129"";""24 เม.ย.2015 11:00"";""7.9"";""5.6"";""182.0"";""32.6"";""42.0"";""ปกติ"""
"262,230;""129"";""24 เม.ย.2015 12:00"";""7.9"";""5.7"";""181.0"";""33.0"";""42.0"";""ปกติ"""
"262,352;""129"";""24 เม.ย.2015 13:00"";""7.9"";""5.8"";""181.0"";""32.7"";""45.0"";""ปกติ"""
"262,473;""129"";""24 เม.ย.2015 14:00"";""7.9"";""5.9"";""181.0"";""32.7"";""47.0"";""ปกติ"""
"262,595;""129"";""24 เม.ย.2015 15:00"";""7.9"";""5.9"";""182.0"";""32.7"";""49.0"";""ปกติ"""
"262,715;""129"";""24 เม.ย.2015 16:00"";""7.9"";""5.8"";""182.0"";""32.8"";""48.0"";""ปกติ"""
"262,835;""129"";""24 เม.ย.2015 17:00"";""7.9"";""5.9"";""182.0"";""32.8"";""46.0"";""ปกติ"""
"262,953;""129"";""24 เม.ย.2015 18:00"";""7.9"";""5.9"";""183.0"";""32.4"";""47.0"";""ปกติ"""
"263,075;""129"";""24 เม.ย.2015 19:00"";""7.8"";""5.9"";""183.0"";""32.1"";""49.0"";""ปกติ"""
"263,198;""129"";""24 เม.ย.2015 20:00"";""7.8"";""5.8"";""182.0"";""32.0"";""48.0"";""ปกติ"""
"263,320;""129"";""24 เม.ย.2015 21:00"";""7.8"";""5.9"";""181.0"";""32.0"";""44.0"";""ปกติ"""
"263,441;""129"";""24 เม.ย.2015 22:00"";""7.8"";""5.9"";""181.0"";""31.9"";""45.0"";""ปกติ"""
"263,565;""129"";""24 เม.ย.2015 23:00"";""7.7"";""5.9"";""182.0"";""31.7"";""43.0"";""ปกติ"""
"263,689;""129"";""25 เม.ย.2015 00:00"";""7.6"";""5.5"";""183.0"";""31.6"";""41.0"";""ปกติ"""
"263,811;""129"";""25 เม.ย.2015 01:00"";""7.6"";""5.1"";""183.0"";""31.4"";""40.0"";""ปกติ"""
"263,933;""129"";""25 เม.ย.2015 02:00"";""7.6"";""4.8"";""183.0"";""31.1"";""41.0"";""ปกติ"""
"264,054;""129"";""25 เม.ย.2015 03:00"";""7.7"";""4.6"";""181.0"";""31.1"";""41.0"";""ปกติ"""
"264,176;""129"";""25 เม.ย.2015 04:00"";""7.8"";""4.8"";""181.0"";""31.1"";""41.0"";""ปกติ"""
"264,296;""129"";""25 เม.ย.2015 05:00"";""7.8"";""5.2"";""181.0"";""31.1"";""42.0"";""ปกติ"""
"264,419;""129"";""25 เม.ย.2015 06:00"";""7.8"";""5.4"";""181.0"";""31.1"";""41.0"";""ปกติ"""
"264,540;""129"";""25 เม.ย.2015 07:00"";""7.8"";""5.6"";""181.0"";""31.0"";""44.0"";""ปกติ"""
"264,660;""129"";""25 เม.ย.2015 08:00"";""7.8"";""5.7"";""181.0"";""31.1"";""48.0"";""ปกติ"""
"264,779;""129"";""25 เม.ย.2015 09:00"";""7.8"";""5.7"";""182.0"";""31.3"";""48.0"";""ปกติ"""
"264,899;""129"";""25 เม.ย.2015 10:00"";""7.9"";""5.8"";""183.0"";""31.8"";""46.0"";""ปกติ"""
"265,019;""129"";""25 เม.ย.2015 11:00"";""7.9"";""6.0"";""183.0"";""32.2"";""46.0"";""ปกติ"""
"265,138;""129"";""25 เม.ย.2015 12:00"";""7.9"";""6.1"";""183.0"";""32.6"";""47.0"";""ปกติ"""
"265,258;""129"";""25 เม.ย.2015 13:00"";""7.9"";""6.2"";""183.0"";""33.0"";""46.0"";""ปกติ"""
"265,379;""129"";""25 เม.ย.2015 14:00"";""8.0"";""6.3"";""182.0"";""33.2"";""45.0"";""ปกติ"""
"265,500;""129"";""25 เม.ย.2015 15:00"";""8.0"";""6.4"";""181.0"";""33.1"";""46.0"";""ปกติ"""
"265,622;""129"";""25 เม.ย.2015 16:00"";""7.9"";""6.4"";""181.0"";""32.9"";""48.0"";""ปกติ"""
"265,743;""129"";""25 เม.ย.2015 17:00"";""7.9"";""6.2"";""182.0"";""32.5"";""50.0"";""ปกติ"""
"265,866;""129"";""25 เม.ย.2015 18:00"";""7.9"";""6.2"";""182.0"";""32.1"";""53.0"";""ปกติ"""
"265,987;""129"";""25 เม.ย.2015 19:00"";""7.8"";""6.0"";""182.0"";""31.8"";""56.0"";""ปกติ"""
"266,105;""129"";""25 เม.ย.2015 20:00"";""7.8"";""5.8"";""182.0"";""31.6"";""53.0"";""ปกติ"""
"266,222;""129"";""25 เม.ย.2015 21:00"";""7.8"";""5.8"";""181.0"";""31.5"";""50.0"";""ปกติ"""
"266,341;""129"";""25 เม.ย.2015 22:00"";""7.8"";""5.8"";""181.0"";""31.5"";""48.0"";""ปกติ"""
"266,462;""129"";""25 เม.ย.2015 23:00"";""7.7"";""5.7"";""181.0"";""31.5"";""46.0"";""ปกติ"""
"266,581;""129"";""26 เม.ย.2015 00:00"";""7.6"";""5.0"";""182.0"";""31.6"";""45.0"";""ปกติ"""
